minute,Y,d,maximise,multiple_of_5,last_digit_3,last_digit_7,seconds_remaining
40,1.0,0,1,True,False,False,50
40,1.09,1,1,True,False,False,60
44,1.05,0,0,False,False,False,37
45,7.68,0,0,True,False,False,36
45,1.39,0,1,True,False,False,11
51,1.83,0,1,False,False,False,19
51,1.25,1,1,False,False,False,5
52,1.7,0,1,False,False,False,46
52,1.43,0,1,False,False,False,25
52,1.19,1,1,False,False,False,5
53,1.74,0,1,False,True,False,49
53,5.2,0,1,False,True,False,29
54,4.72,0,0,False,False,False,53
54,1.68,0,0,False,False,False,20
55,2.69,0,1,True,False,False,60
55,2.76,0,0,True,False,False,34
55,7.78,1,0,True,False,False,6
56,2.09,0,0,False,False,False,29
56,1.28,1,0,False,False,False,4
57,12.49,0,1,False,False,True,36
58,1.18,0,0,False,False,False,49
58,1.41,0,1,False,False,False,35
58,2.47,0,1,False,False,False,15
59,3.17,0,0,False,False,False,51
59,3.95,0,0,False,False,False,22
0,5.02,0,0,True,False,False,49
0,1.64,0,0,True,False,False,14
1,1.73,0,1,False,False,False,52
1,1.77,0,1,False,False,False,13
2,19.18,0,1,False,False,False,60
2,6.26,1,0,False,False,False,7
3,6.11,0,0,False,True,False,29
4,1.83,0,0,False,False,False,50
4,1.42,0,1,False,False,False,21
4,5.18,1,1,False,False,False,6
5,1.44,0,0,True,False,False,22
5,1.96,1,1,True,False,False,3
6,1.19,0,1,False,False,False,36
6,2.42,0,1,False,False,False,17
7,2.33,0,0,False,False,True,47
7,2.08,0,0,False,False,True,22
8,6.73,0,0,False,False,False,52
8,3.21,0,0,False,False,False,13
9,2.23,0,0,False,False,False,45
9,9.96,0,0,False,False,False,17
10,1.7,0,0,True,False,False,31
10,3.49,1,1,True,False,False,9
11,1.16,0,0,False,False,False,39
11,1.36,0,1,False,False,False,19
12,1.02,0,1,False,False,False,58
12,1.45,0,1,False,False,False,40
12,1.8,0,1,False,False,False,19
13,1.35,0,1,False,True,False,58
13,1.4,0,1,False,True,False,41
13,1.02,0,1,False,True,False,19
13,2.05,1,1,False,True,False,8
14,2.17,0,0,False,False,False,42
14,1.32,0,0,False,False,False,18
14,3.61,1,1,False,False,False,1
15,1.3,0,0,True,False,False,31
15,1.12,0,1,True,False,False,13
16,1.02,0,1,False,False,False,55
16,2.36,0,1,False,False,False,38
16,1.04,0,0,False,False,False,15
16,6.05,1,1,False,False,False,3
17,3.29,0,0,False,False,True,25
18,1.06,0,0,False,False,False,58
18,5.53,0,1,False,False,False,43
18,6.75,1,0,False,False,False,7
19,32.72,0,0,False,False,False,32
20,5.92,0,0,True,False,False,34
20,1.66,1,0,True,False,False,1
21,1.22,0,1,False,False,False,41
21,3.41,0,1,False,False,False,25
22,3.34,0,0,False,False,False,57
22,2.66,0,0,False,False,False,28
22,2.84,1,0,False,False,False,1
23,10.68,0,0,False,True,False,30
24,1.0,0,0,False,False,False,46
24,1.47,0,1,False,False,False,27
24,1.15,1,1,False,False,False,7
25,1.0,0,1,True,False,False,47
25,1.0,0,1,True,False,False,32
25,2.72,0,1,True,False,False,18
26,3.05,0,0,False,False,False,51
26,1.91,0,0,False,False,False,22
