minute,Y,d,maximise,multiple_of_5,last_digit_3,last_digit_7,seconds_remaining,is_critical
40,1.0,0,1,True,False,False,50,0
40,1.09,1,1,True,False,False,60,0
44,1.05,0,0,False,False,False,37,0
45,7.68,0,0,True,False,False,36,0
45,1.39,0,1,True,False,False,11,0
51,1.83,0,1,False,False,False,19,0
51,1.25,1,1,False,False,False,5,0
52,1.7,0,1,False,False,False,46,0
52,1.43,0,1,False,False,False,25,0
52,1.19,1,1,False,False,False,5,0
53,1.74,0,1,False,True,False,49,0
53,5.2,0,1,False,True,False,29,0
54,4.72,0,0,False,False,False,53,0
54,1.68,0,0,False,False,False,20,0
55,2.69,0,1,True,False,False,60,0
55,2.76,0,0,True,False,False,34,0
55,7.78,1,0,True,False,False,6,0
56,2.09,0,0,False,False,False,29,0
56,1.28,1,0,False,False,False,4,0
57,12.49,0,1,False,False,True,36,1
58,1.18,0,0,False,False,False,49,0
58,1.41,0,1,False,False,False,35,0
58,2.47,0,1,False,False,False,15,0
59,3.17,0,0,False,False,False,51,0
59,3.95,0,0,False,False,False,22,0
0,5.02,0,0,True,False,False,49,0
0,1.64,0,0,True,False,False,14,0
1,1.73,0,1,False,False,False,52,0
1,1.77,0,1,False,False,False,13,0
2,19.18,0,1,False,False,False,60,1
2,6.26,1,0,False,False,False,7,0
3,6.11,0,0,False,True,False,29,0
4,1.83,0,0,False,False,False,50,0
4,1.42,0,1,False,False,False,21,0
4,5.18,1,1,False,False,False,6,0
5,1.44,0,0,True,False,False,22,0
5,1.96,1,1,True,False,False,3,0
6,1.19,0,1,False,False,False,36,0
6,2.42,0,1,False,False,False,17,0
7,2.33,0,0,False,False,True,47,0
7,2.08,0,0,False,False,True,22,0
8,6.73,0,0,False,False,False,52,0
8,3.21,0,0,False,False,False,13,0
9,2.23,0,0,False,False,False,45,0
9,9.96,0,0,False,False,False,17,0
10,1.7,0,0,True,False,False,31,0
10,3.49,1,1,True,False,False,9,0
11,1.16,0,0,False,False,False,39,0
11,1.36,0,1,False,False,False,19,0
12,1.02,0,1,False,False,False,58,0
12,1.45,0,1,False,False,False,40,0
12,1.8,0,1,False,False,False,19,0
13,1.35,0,1,False,True,False,58,0
13,1.4,0,1,False,True,False,41,0
13,1.02,0,1,False,True,False,19,0
13,2.05,1,1,False,True,False,8,0
14,2.17,0,0,False,False,False,42,0
14,1.32,0,0,False,False,False,18,0
14,3.61,1,1,False,False,False,1,0
15,1.3,0,0,True,False,False,31,0
15,1.12,0,1,True,False,False,13,0
16,1.02,0,1,False,False,False,55,0
16,2.36,0,1,False,False,False,38,0
16,1.04,0,0,False,False,False,15,0
16,6.05,1,1,False,False,False,3,0
17,3.29,0,0,False,False,True,25,0
18,1.06,0,0,False,False,False,58,0
18,5.53,0,1,False,False,False,43,0
18,6.75,1,0,False,False,False,7,0
19,32.72,0,0,False,False,False,32,1
20,5.92,0,0,True,False,False,34,0
20,1.66,1,0,True,False,False,1,0
21,1.22,0,1,False,False,False,41,0
21,3.41,0,1,False,False,False,25,0
22,3.34,0,0,False,False,False,57,0
22,2.66,0,0,False,False,False,28,0
22,2.84,1,0,False,False,False,1,0
23,10.68,0,0,False,True,False,30,0
24,1.0,0,0,False,False,False,46,0
24,1.47,0,1,False,False,False,27,0
24,1.15,1,1,False,False,False,7,0
25,1.0,0,1,True,False,False,47,0
25,1.0,0,1,True,False,False,32,0
25,2.72,0,1,True,False,False,18,0
26,3.05,0,0,False,False,False,51,0
26,1.91,0,0,False,False,False,22,0
27,16.53,0,1,False,False,True,60,1
27,1.99,1,0,False,False,True,9,0
28,1.78,0,1,False,False,False,47,0
29,3.98,0,1,False,False,False,43,0
29,26.47,0,0,False,False,False,10,1
30,14.04,0,0,True,False,False,10,1
31,3.01,0,0,False,False,False,24,0
32,393.46,0,0,False,False,False,54,1
33,2.32,0,0,False,True,False,21,0
34,2.59,0,0,False,False,False,58,0
